ID,release_type,Sex,SVL,Date,Time,hours,Temp,Rainfall,Humidity,Cloud cover,Fix,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity,Disturbed
11/G09,SR,M,80,18/01/18,1135,NA,19.7,9,87,8,0,NA,NA,1.3,kanuka,3,foam cover,NA,NA,Yes
11/G09,SR,M,80,19/01/18,1512,27.62,22.8,0.2,95,3,1,2.6,80,1.8,PITten,3,NA,NA,NA,No
11/G09,SR,M,80,19/01/18,30,9.30,21.1,0.2,89,0,2,1,50,NA,PITten,NA,?foliage,NA,NA,No
11/G09,SR,M,80,20/01/18,2250,22.33,22.1,0,70,8,3,2.5,240,NA,kanuka,3.3,NA,NA,NA,No
11/G09,SR,M,80,21/01/18,1352,15.03,24.1,0,76,4,4,1.45,110,NA,kanuka,3.55,NA,NA,NA,No
11/G09,SR,M,80,22/01/18,1630,26.63,22.5,0,78,7.5,5,11.5,270,1.75,kanuka,NA,1 branch,up,not moving,Yes
11/G09,SR,M,80,23/01/18,1412,21.70,23.6,0,78,6,6,6.9,70,3.5,kanuka,2.6,2 branch,NA,NA,No
11/G09,SR,M,80,24/01/18,40,10.47,21.1,0,90,0.5,7,3.2,180,NA,kanuka,3.7,NA,NA,NA,No
11/G09,SR,M,80,29/01/18,1530,134.83,24.3,0,69,0,8,2.2,8,1.8,kanuka,3.5,3 branch,down,not moving,Yes
11/G09,SR,M,80,30/01/18,1334,22.07,24.3,0,75,7,9,1.7,218,1,kanuka,3.5,foam cover,down,not moving,No
11/G09,SR,M,80,2/02/18,1305,71.52,21.3,0,66,6.5,10,1.5,20,2.7,kanuka,3.5,4 branch,up,not moving,No
11/G09,SR,M,80,3/02/18,1504,25.98,17.4,0,61,7.5,11,3.2,172,2.62,kanuka,3.65,4 branch,up,moving,No
11/G09,SR,M,80,5/02/18,2307,56.05,18.8,0,77,0,12,2.3,300,0.8,kanuka,3.5,foam cover,NA,NA,No
11/G09,SR,M,80,7/02/18,2315,48.13,15.7,0,65,0,13,2.4,290,0.79,PITten,3.37,1 branch,NA,NA,No
12/G15,SR,M,85,18/01/18,1230,NA,19.7,9,87,8,0,NA,NA,1.05,kanuka,3,2 branch,NA,NA,Yes
12/G15,SR,M,85,19/01/18,1545,27.25,22.8,0.2,95,3,1,0.5,200,NA,kanuka,4,?foliage,NA,NA,No
12/G15,SR,M,85,19/01/18,80,9.58,21.1,0.2,89,0,2,2.7,110,2.9,kanuka,3.7,2 branch,NA,NA,No
12/G15,SR,M,85,20/01/18,1630,15.17,23.8,0,74,2,4,2.3,260,NA,kanuka,3.7,NA,NA,NA,No
12/G15,SR,M,85,21/01/18,1300,20.50,24.1,0,76,4,5,1.5,100,NA,kanuka,NA,NA,NA,NA,No
12/G15,SR,M,85,23/01/18,1400,49.00,23.6,0,78,6,6,2.85,30,1.15,kanuka,3,2 branch,NA,NA,No
12/G15,SR,M,85,24/01/18,115,11.25,21.1,0,90,0.5,7,3.35,200,3.15,kanuka,NA,NA,NA,NA,No
12/G15,SR,M,85,29/01/18,1453,133.63,24.3,0,69,0,8,2.5,32.5,NA,kanuka,4.6,NA,NA,NA,No
12/G15,SR,M,85,29/01/18,2355,9.03,21.2,0,83,0,9,1.2,170,1.1,PITeug,3,1 branch,up,not moving,Yes
12/G15,SR,M,85,30/01/18,1417,14.37,24.3,0,75,7,10,2.4,22,NA,kanuka,3.6,NA,NA,NA,No
12/G15,SR,M,85,30/01/18,2355,9.63,21.2,0,88,6,11,2.4,336,NA,kanuka,3.6,?foliage,NA,NA,No
12/G15,SR,M,85,2/02/18,1335,61.67,21.3,0,66,6.5,12,2.5,210,2.75,kanuka,3.6,4 branch,up,eating,No
12/G15,SR,M,85,3/02/18,1510,25.58,17.4,0,61,7.5,13,0.3,80,2.85,kanuka,3.6,3 branch,down,moving,No
12/G15,SR,M,85,5/02/18,2317,56.12,18.8,0,77,0,14,2.7,160,2.79,kanuka,3.6,branchlettes,horizontal,not moving,No
12/G15,SR,M,85,7/02/18,2343,48.43,15.7,0,65,0,15,0,0,NA,kanuka,3.6,NA,NA,NA,No
12/G15,SR,M,85,8/02/18,2353,24.17,17.6,0,62,0,16,2.3,42,NA,kanuka,3.6,NA,NA,NA,No
12/G15,SR,M,85,12/02/18,8,72.25,21.1,0,90,7,17,3.1,295,NA,OLE,4.2,NA,NA,NA,No
12/G15,SR,M,85,13/02/18,13,24.08,20.8,0,76,5,18,1.52,60,NA,kanuka,3.6,NA,NA,NA,No
12/G15,SR,M,85,14/02/18,2308,46.92,18.9,0,85,1,19,1.15,79,NA,kanuka,3.6,NA,NA,NA,No
12/G15,SR,M,85,15/02/18,2346,24.63,19.9,0,87,1,20,1.1,252,2.38,kanuka,3.6,5 branch,down,moving,No
12/G15,SR,M,85,17/02/18,1440,38.90,21.3,1,94,3,21,2.19,5,2.6,kanuka,3.6,3 branch,down,not moving,No
12/G15,SR,M,85,18/02/18,1340,23.00,23.3,0,79,3,22,0.8,205,2.9,kanuka,3.6,2 branch,up,basking,No
12/G15,SR,M,85,21/02/18,1320,71.67,19.5,14.4,64,1.5,23,1.23,208,2.27,kanuka,3.6,3 branch,up,moving,No
12/G15,SR,M,85,22/02/18,1400,24.67,17.2,0,69,7.5,24,1.35,20,2.95,kanuka,3.6,3 branch,up,moving,Yes
13/Onaji,SR,F,83,19/01/18,130,NA,21.1,0.2,89,0,0,NA,NA,1.7,OLE,2.5,2 branch,NA,NA,Yes
13/Onaji,SR,F,83,20/01/18,2215,44.75,22.1,0,70,8,1,7.7,290,NA,OLE,3.61,?foliage,NA,NA,No
13/Onaji,SR,F,83,21/01/18,1210,13.92,24.1,0,76,4,2,3.8,200,1.75,kanuka,3.52,1 branch,NA,NA,Yes
13/Onaji,SR,F,83,21/01/18,18,12.13,20.1,0,89,8,3,1.5,70,NA,kanuka,3.52,NA,NA,NA,No
13/Onaji,SR,F,83,22/01/18,1612,15.90,22.5,0,78,7.5,4,3.4,230,NA,kanuka,NA,NA,NA,NA,No
13/Onaji,SR,F,83,23/01/18,1600,23.80,23.6,0,78,6,5,12.8,170,NA,PITten,2.9,NA,NA,NA,No
13/Onaji,SR,F,83,23/01/18,45,8.75,22.2,0,82,8,6,2,120,NA,PITten,2.9,?foliage,NA,NA,No
13/Onaji,SR,F,83,24/01/18,1554,15.15,26.3,0,70,0.5,7,1.1,317.5,1.1,PITten,2.9,2 branch,down,not moving,No
13/Onaji,SR,F,83,28/01/18,2340,103.77,20.2,0,87,2,8,2.1,157.5,NA,PITten,NA,NA,NA,NA,No
13/Onaji,SR,F,83,29/01/18,1611,16.52,24.3,0,69,0,9,3.55,312,1.05,PITten,2.9,3 branch,NA,NA,No
13/Onaji,SR,F,83,30/01/18,1446,22.58,24.3,0,75,7,10,0,NA,1.05,PITten,2.9,3 branch,down,not moving,Yes
13/Onaji,SR,F,83,2/02/18,1342,70.93,21.3,0,66,6.5,11,0,NA,1.05,PITten,2.9,3 branch,NA,NA,No
13/Onaji,SR,F,83,2/02/18,2318,9.60,15.1,0,71,7,12,1,200,NA,PITten,2.9,?foliage,NA,NA,No
13/Onaji,SR,F,83,3/02/18,1328,14.17,17.4,0,61,7.5,13,1,353,1.05,PITten,2.9,3 branch,down,not moving,No
13/Onaji,SR,F,83,3/02/18,15,10.78,14,0,62,1,14,0.3,270,0.9,kanuka,2.9,?branch,NA,NA,No
13/Onaji,SR,F,83,18/02/18,1425,350.17,23.3,0,79,3,15,0.3,90,1.05,PITten,2.9,3 branch,down,not moving,Yes
13/Onaji,SR,F,83,21/02/18,1338,71.22,19.5,14.4,64,1.5,16,0,NA,NA,PITten,2.9,?foliage,NA,NA,No
13/Onaji,SR,F,83,22/02/18,1450,25.20,17.2,0,69,7.5,17,1.55,230,1.21,PITten,2.9,2 branch,NA,NA,No
13/Onaji,SR,F,83,24/02/18,17,33.45,19.5,0,73,5,18,3.2,220,NA,OLE,3.3,?foliage,NA,NA,No
13/Onaji,SR,F,83,24/02/18,1520,15.05,22,0,69,1,19,2.5,40,NA,OLE,3.4,?foliage,NA,NA,No
13/Onaji,SR,F,83,25/02/18,115,9.92,19.2,3.4,78,7,20,6.8,100,NA,OLE,3.6,NA,NA,NA,No
13/Onaji,SR,F,83,25/02/18,1430,13.25,21.2,3.4,53,4,21,11.3,280,1,PITten,3.3,foam cover,NA,not moving,No
13/Onaji,SR,F,83,26/02/18,2305,32.58,15,6,66,1,22,9.2,120,NA,OLE,3.5,?foliage,NA,NA,No
13/Onaji,SR,F,83,27/02/18,1457,15.87,19.1,6.2,54,4,23,2.6,60,1.8,OLE,3.3,2 branch,down,not moving,No
