ID,Time,Fix,Disturbed,release_type,Sex,SVL,Temp,Rainfall,Humidity,Cloud cover,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity
26,1236,1,1,1,1,72,23.4,0,61,1.5,3.1,357,1.8,2,3.45,2,2,2
26,1613,2,1,1,1,72,22.6,0,53,0.5,18,280,1.67,2,4.45,1,2,2
26,1432,5,1,1,1,72,22.1,0,92,8,3.53,275,2.1,4,2.77,13,1,1
26,1415,6,1,1,1,72,24.1,0,75,6,16.7,347,2.65,2,4,7,1,1
26,2305,8,2,1,1,72,19.9,0,87,1,3.8,172,1.46,2,3.6,11,2,1
26,1259,10,1,1,1,72,23.3,0,79,3,2.23,328,2.48,2,3.89,3,2,1
26,1427,14,1,1,1,72,20.6,0,67,6,8.5,280,2.4,2,2.85,2,3,1
26,2320,21,1,1,1,72,17.5,0,82,8,0.6,110,2.41,1,3.22,4,3,2
27,1256,1,1,1,1,78,23.4,0,61,1.5,8.35,298,1.4,2,3.8,1,1,1
27,1435,7,1,1,1,78,22.6,0,70,0.5,19.2,303,2.15,1,3.25,3,2,2
27,15,8,2,1,1,78,20.3,1,95,7,0.42,126,1.83,1,3.25,6,2,1
27,1403,10,1,1,1,78,23.5,33.8,67,8,16.66,212,0,3,0,5,3,1
27,1522,11,1,1,1,78,19.5,14.4,64,1.5,18.65,347,1.61,1,3.21,2,1,1
27,1240,14,1,1,1,78,22,0,69,1,10.3,70,2.1,4,2.7,4,2,2
27,2232,21,1,1,1,78,17.5,0,82,7.5,3.36,118,1.86,2,3.8,2,1,2
27,2325,23,1,1,1,78,20.5,0,80,0,12.7,156,3.1,2,3.85,2,1,2
27,34,24,1,1,1,78,13.6,3,83,6,1.99,309,0.92,2,3.85,8,2,2
27,1513,25,1,1,1,78,15.5,0,83,8,0.85,310,1,2,3.85,1,1,1
27,33,26,1,1,1,78,15.2,0,76,6,0,0,1.61,2,3.85,1,1,2
27,1400,27,1,1,1,78,17.8,1.8,69,2,1.73,110,3.06,2,3.85,3,1,3
27,2242,28,1,1,1,78,14.1,1.8,66,3,0.49,132,1.02,2,3.85,1,1,2
27,1330,29,2,1,1,78,17.8,0,62,6,2.4,136,2.92,2,3.85,2,1,3
3,2250,12,1,2,1,78,20.2,0,87,2,4.45,312,2.1,2,2.8,10,2,2
3,2240,13,1,2,1,78,21.2,0,83,0,6.9,112,3,4,4.9,3,1,2
3,2240,14,1,2,1,78,21.2,0,88,6,2.3,251,3.4,4,3.65,3,2,2
3,1436,16,1,2,1,78,21.3,0,66,6.5,10.15,325,2.7,2,3.85,3,1,2
3,1524,17,1,2,1,78,17.4,0,61,7.5,5.8,180,1.35,2,4.5,11,2,1
3,2337,18,1,2,1,78,18.8,0,77,0,0.5,10,2.67,2,4.5,2,2,2
3,15,20,2,2,1,78,15.7,0,65,0,3.6,330,1.9,2,3.1,2,2,1
3,107,21,2,2,1,78,17.6,0,62,0,2.7,118,1.41,2,5.1,2,2,1
3,2255,22,1,2,1,78,21.1,0,90,7,8.8,79,2.87,12,3.43,2,1,2
3,1349,23,2,2,1,78,23.4,0,70,8,3.26,90,0.4,8,3.97,9,2,1
3,1230,26,1,2,1,78,23.5,33.8,67,8,9.11,315,0.86,25,3.32,8,2,2
3,1250,28,1,2,1,78,23.2,0,66,6,2.21,299,3.9,2,5,7,1,2
3,2245,29,2,2,1,78,17.5,0,82,7.5,11.67,308,1.26,2,3.87,2,2,1
3,2255,31,1,2,1,78,20.5,0,80,0,3.77,2,3.46,2,3.75,3,3,2
3,2228,32,2,2,1,78,13.6,3,83,6,3.8,235,1.95,2,5.22,2,1,1
4,1400,11,2,2,2,83,15.5,0,83,8,3.09,11,1.86,1,3.73,1,2,1
5,0,9,1,2,1,90,22.2,0,82,8,0.4,230,1.7,1,3.4,1,1,2
5,1435,11,3,2,1,90,26.5,0,63,0,13.2,40,2,1,3.35,3,1,2
5,1255,13,3,2,1,90,24.3,0,75,7,0.8,220,1.65,1,3.6,1,2,2
5,2246,15,1,2,1,90,15.1,0,71,7,0.95,330,3.6,1,3.6,4,3,2
5,1330,26,2,2,1,90,23.5,33.8,67,8,3.42,152,2.32,2,3.37,3,1,1
5,1520,29,2,2,1,90,20.6,0,67,6,1.3,150,2,1,3.77,13,3,1
5,1230,34,1,2,1,90,21.2,0.2,81,8,1,330,2.1,1,4.2,2,1,1
5,1401,42,2,2,1,90,21.4,0,76,8,0.86,252,1.71,1,4.2,2,1,1
6,1420,11,1,2,1,86,24.3,0,69,0,2.15,52,1.63,4,3.3,2,1,2
6,1440,15,1,2,1,86,17.4,0,61,7.5,4.2,107,3.05,13,3.8,6,1,2
6,2256,17,1,2,1,86,18.8,0,77,0,0.4,39,3.8,13,3.8,4,1,1
6,1403,18,2,2,1,86,22.6,0,53,0.5,0.9,90,3.15,4,3.68,3,1,2
6,22,20,2,2,1,86,21.1,0,90,7,5.42,296,1.38,4,2.9,3,2,1
6,20,21,2,2,1,86,20.8,0,76,5,3.22,92,1.2,1,3.46,13,2,2
6,1451,24,1,2,1,86,21.3,1,94,3,1.18,292,2.9,4,3.49,13,3,2
6,1354,25,1,2,1,86,23.3,0,79,3,4.88,45,2.68,4,3.45,3,2,3
6,1508,27,2,2,1,86,17.2,0,69,7.5,3.24,77,2.35,4,3.31,2,1,1
6,1425,31,2,2,1,86,21.2,3.4,53,4,0.8,310,2.4,4,3.3,13,2,1
6,1352,36,2,2,1,86,23.2,0,70,8,5.88,322,1.3,4,2.9,3,1,1
6,1513,38,2,2,1,86,21.4,0,76,8,6.3,186,1.62,1,3.24,2,1,1
8,1434,1,1,2,1,88,24.9,24.6,52,8,3.2,60,1.2,1,3,1,2,2
8,1720,6,3,2,1,88,22.5,0,78,7.5,8.5,80,1,18,2,10,2,2
9,2309,6,1,2,1,85,17.5,0,82,8,3.76,95,1.98,2,2.89,6,2,2
9,1322,7,1,2,1,85,23.2,0,70,8,1.97,114,2.44,2,2.89,2,1,2
9,2300,8,1,2,1,85,19.7,0,75,5,3.07,87,1.5,2,3.87,2,1,2
9,1524,11,2,2,1,85,15.5,0,83,8,1.29,136,2.77,2,4.25,3,2,2
